Gene	TCGA-A2-A0CM	TCGA-A2-A0D0	TCGA-A2-A0D1	TCGA-A2-A0D2	TCGA-A2-A0EQ	TCGA-A2-A0EV	TCGA-A2-A0EX	TCGA-A2-A0EY	TCGA-A2-A0SX	TCGA-A2-A0T1	TCGA-A2-A0T3	TCGA-A2-A0T6	TCGA-A2-A0T7	TCGA-A2-A0YC	TCGA-A2-A0YD	TCGA-A2-A0YF	TCGA-A2-A0YG	TCGA-A2-A0YI	TCGA-A2-A0YL	TCGA-A2-A0YM	TCGA-A7-A0CD	TCGA-A7-A0CE	TCGA-A7-A0CJ	TCGA-A7-A13F	TCGA-A8-A06N	TCGA-A8-A06Z	TCGA-A8-A076	TCGA-A8-A079	TCGA-A8-A08G	TCGA-A8-A08Z	TCGA-A8-A09G	TCGA-A8-A09I	TCGA-AN-A04A	TCGA-AN-A0AJ	TCGA-AN-A0AL	TCGA-AN-A0AM	TCGA-AN-A0AS	TCGA-AN-A0FK	TCGA-AN-A0FL	TCGA-AO-A03O	TCGA-AO-A0J6	TCGA-AO-A0J9	TCGA-AO-A0JC	TCGA-AO-A0JE	TCGA-AO-A0JJ	TCGA-AO-A0JL	TCGA-AO-A0JM	TCGA-AO-A126	TCGA-AO-A12B	TCGA-AO-A12D	TCGA-AO-A12E	TCGA-AO-A12F	TCGA-AR-A0TR	TCGA-AR-A0TT	TCGA-AR-A0TV	TCGA-AR-A0TX	TCGA-AR-A0TY	TCGA-AR-A0U4	TCGA-AR-A1AP	TCGA-AR-A1AQ	TCGA-AR-A1AS	TCGA-AR-A1AV	TCGA-AR-A1AW	TCGA-BH-A0AV	TCGA-BH-A0BV	TCGA-BH-A0BZ	TCGA-BH-A0C0	TCGA-BH-A0C1	TCGA-BH-A0C7	TCGA-BH-A0DD	TCGA-BH-A0DG	TCGA-BH-A0E0	TCGA-BH-A0E1	TCGA-BH-A0E9	TCGA-BH-A0EE	TCGA-BH-A0HK	TCGA-BH-A0HP	TCGA-BH-A18N	TCGA-BH-A18Q	TCGA-BH-A18R	TCGA-BH-A18U	TCGA-BH-A18V	TCGA-C8-A12L	TCGA-C8-A12P	TCGA-C8-A12Q	TCGA-C8-A12T	TCGA-C8-A12U	TCGA-C8-A12V	TCGA-C8-A12W	TCGA-C8-A12Z	TCGA-C8-A130	TCGA-C8-A131	TCGA-C8-A134	TCGA-C8-A135	TCGA-C8-A138	TCGA-D8-A13Y	TCGA-D8-A142	TCGA-E2-A10A	TCGA-E2-A150	TCGA-E2-A154	TCGA-E2-A158	TCGA-E2-A159	TCGA-E2-A15A
NAT1	-1.10739	-1.33366	-2.08815	-1.68925	-0.450958	0.581091	0.159074	0.481556	-1.23225	-0.642051	-0.436514	0.700048	-0.066825	1.36997	1.28131	1.24243	1.37675	1.25322	0.355399	-1.58943	0.703763	-0.97542	0.386824	0.986765	-1.29747	1.30089	0.740906	0.879131	-0.615562	-0.102043	-0.95135	1.31569	0.729034	-0.219902	-0.75897	-0.853545	-1.09426	1.68118	-1.05295	0.593575	-1.09748	0.607695	0.261934	-0.196198	0.629465	-0.847293	0.787207	-0.537435	-0.194548	-0.765914	1.33822	-1.46841	1.5046	0.459901	-0.375663	-0.453472	-0.865935	-0.219114	0.463109	-1.39844	0.321609	1.55828	0.413436	-1.68472	0.209437	-0.0234279	0.789866	1.04098	1.18003	1.53905	0.436957	-1.60322	1.67442	1.03998	-0.449568	0.939245	-0.0181381	0.186145	-0.967972	-0.539794	2.77536	-1.12185	-0.344631	-0.975579	-0.580946	0.931885	0.778267	-0.557179	-0.346263	-0.354666	0.606249	-0.804347	-1.28392	-0.810056	0.520867	-0.441024	-1.05862	0.898515	-1.53581	1.53571	-1.33436	-0.485105	0.751983
SERPINA3	-1.27532	0.628481	-2.47804	0.792259	-1.75636	1.06698	0.384077	-0.224798	-0.193939	-0.127156	-0.321213	-1.11662	0.362508	0.842414	0.28739	0.815843	-0.0702532	1.1679	0.568749	0.338024	-0.429772	0.532754	0.958589	1.03298	0.581435	1.03492	-0.540054	0.912388	0.180966	-0.970039	-2.23764	0.814096	0.634088	-0.127199	2.26684	0.0543978	-0.150711	0.863587	0.364538	0.516252	0.784534	0.421976	-1.22728	0.17862	0.0123476	-1.93413	-0.960334	0.238253	0.578807	-1.69966	1.14777	-1.3098	0.529445	-1.67531	1.07973	-1.86177	-0.313005	0.449891	0.659132	-1.08457	0.441384	1.11163	0.199689	0.698654	1.91588	-0.574629	0.262332	0.330077	0.667206	2.41031	-0.166263	-1.06646	0.922481	1.56087	-0.0143546	-2.42502	0.452569	1.35408	-0.395544	-1.48324	0.000157279	-0.604002	0.253985	-0.0840247	-0.652289	0.211704	0.396705	0.449421	-0.397767	0.151784	-0.701119	-0.511639	0.347423	-0.671315	-0.443649	-2.03535	-1.58334	-0.344326	0.70599	1.38409	-0.399315	-1.80132	0.128577
AANAT	1.6606	0.19325	0.266768	1.0078	-0.465992	-0.0738152	-0.554607	0.280706	0.654388	0.214057	0.456802	-0.447199	0.0969076	-0.468113	0.0478736	-0.103494	-1.01858	-0.0577007	0.0772983	-0.711123	-1.85134	0.207386	-0.162435	-0.88596	0.541555	-0.416229	-0.479647	0.162776	1.5264	-1.01824	-1.85505	-0.647072	-1.82392	-0.260321	0.206609	1.34181	-0.242073	-1.64687	-0.155405	-0.0226472	2.12481	-1.14909	2.30709	-1.62003	-0.233102	-0.0350888	-0.151366	-0.578117	0.111233	0.459111	1.02859	1.06569	0.232564	0.627311	-0.0311962	0.473366	0.656943	-0.0525093	-0.729004	0.66399	-0.0126025	-0.0447277	1.28518	-0.439795	-0.862395	0.802537	1.37625	-1.69966	-0.83977	-1.61011	-1.53686	0.0251935	-0.113885	-0.235626	2.14376	0.0825041	-1.77303	0.054367	-0.0882275	1.3894	-1.0088	2.8709	0.743372	0.165808	-0.461493	-1.57193	2.61489	1.08082	-0.0914603	-0.430828	0.925838	-0.784739	1.50872	-1.51315	-1.4321	0.221004	-0.6177	0.0910197	0.516233	-1.29559	0.651431	0.84736	0.321523
ABL1	-0.260854	0.0939088	-0.459769	-0.30166	1.00375	0.177582	0.12392	2.26642	-0.0214433	1.48913	1.43865	0.872422	1.11834	0.4238	1.03653	-1.21502	1.81064	1.09919	0.913757	2.10208	0.0994255	-0.182704	-0.164427	-0.787097	-0.805493	-2.0767	0.483612	-1.27236	-0.0293514	0.967619	1.27912	-0.0134696	1.00036	0.551803	-0.511883	-1.30473	-0.0525723	-0.264521	-1.2746	0.14633	-1.2038	-0.966847	-1.19479	-0.088497	-0.538329	-2.28833	1.03168	-0.174511	-1.65391	-0.39442	-0.207161	0.255353	0.583327	0.661002	-0.386629	0.721794	-2.20571	-1.93085	-0.467456	-0.669695	0.532445	0.279514	0.278708	1.0761	0.0452931	0.120742	1.33834	1.31549	0.535862	0.586594	1.37087	-1.70526	-0.536691	1.30612	-0.629503	-1.08546	0.840153	-0.221231	-1.23367	0.440049	-1.31445	0.0831965	2.1885	-0.286715	0.848583	0.0990574	1.00125	-0.467929	0.354533	0.987373	-1.61592	-0.497432	-1.40127	1.09787	-1.20136	-0.547145	0.0571631	0.247157	-1.56015	0.0186269	-0.490429	0.172811	-0.809727
ABL2	0.618886	-0.947921	-1.6581	-1.00365	-0.833209	0.227342	-1.85298	-1.03853	0.650586	-0.852941	0.354711	0.87392	1.09859	0.491531	2.2652	0.571846	0.359268	0.653226	0.942099	1.1601	0.902072	1.07342	-0.259703	0.00371345	0.403877	-0.51363	-0.0408772	-1.52342	0.637664	1.60034	-0.607333	0.838411	-0.471973	0.104218	-0.743419	-1.97773	0.0748802	0.157827	-1.7932	0.49286	-0.539499	-0.881237	-0.955518	-0.64855	-0.999961	-0.220625	0.0146586	1.06179	-1.24808	-0.372349	-0.773966	1.00656	0.992983	-0.338419	-0.721582	-0.911675	-1.07245	-0.611577	-0.840576	-0.794636	-0.762266	0.93444	0.831661	1.87324	0.266507	-0.147613	-0.973354	2.13122	0.314443	0.889528	0.404156	2.56461	0.64165	1.24923	-2.43382	0.563888	-0.107026	-0.267183	0.861899	0.814959	-0.635452	0.505594	1.28564	0.0492892	0.562688	-1.79827	-2.97925	-0.338571	0.0565848	1.54976	0.382009	-0.245562	0.0826057	-0.711517	-1.17318	-0.147314	0.99896	0.107789	0.678854	0.225455	0.441976	0.138271	-0.269783
ACAA1	1.1668	-0.384596	-0.863593	-0.331982	0.645992	-0.269593	0.529827	0.937392	-1.37315	0.497148	-1.00312	0.773401	-0.354465	0.238823	-0.100728	-1.95885	0.0873029	-0.423063	-0.780494	-1.65056	0.231968	-1.06599	0.0158658	0.591833	0.413095	-0.630171	-0.077125	-0.293939	-0.236178	-0.772033	1.76709	-0.279611	-0.238836	-0.934247	0.718104	0.175843	0.039238	0.786855	-0.658926	1.4465	-0.446947	-0.0366902	0.907805	-1.37969	0.427171	-1.32361	-0.824883	0.412432	2.1353	1.27077	-0.107758	0.25073	0.926583	-0.389975	0.870756	-0.666839	1.51228	-0.815409	1.27702	-0.159454	2.10343	0.676136	-0.292044	-1.22863	0.722413	-0.130081	-1.10234	0.436623	-1.95312	-1.57124	-0.855945	0.437984	1.03933	1.13008	-0.665959	1.0545	0.908745	2.72357	-1.36028	-1.05361	0.764832	-1.54154	-2.10499	1.36482	1.04469	1.24699	0.143797	-0.0916625	0.598712	-1.05153	-0.15894	0.636057	-1.40334	-0.0126268	2.26209	-0.898733	0.212053	-0.335581	-0.540702	0.86676	-1.49843	0.352485	-1.09618
ACADS	-1.99499	-0.221029	-2.30452	-0.914775	-1.13225	1.07337	0.187134	0.313053	0.657225	-0.169299	-0.892036	-0.416335	1.38896	-1.60796	0.194431	-1.36218	-0.00502986	0.250301	0.524975	-0.206306	1.53098	0.0329338	-2.57266	0.625039	2.21651	0.565648	-0.216896	0.322071	1.19702	-0.279912	-0.106008	-2.34963	-1.72583	0.255731	0.696189	-2.45574	-1.05989	-0.457195	0.142953	0.465232	0.488218	1.07115	0.666901	-0.658263	1.05263	-0.833387	0.778109	1.8822	0.185115	-0.736324	2.06044	0.234238	1.39426	-0.153816	1.36188	-0.409595	1.01153	-0.117339	-0.541525	0.0289658	0.319634	2.19963	0.33377	-0.850304	0.0237376	0.163321	-0.31602	-0.977281	0.185892	0.368963	-0.672369	0.596304	0.831208	0.0534694	-0.500519	0.313737	0.343086	1.56293	-0.164841	1.93113	-0.459873	-0.881907	-0.408037	0.627396	0.270933	0.141172	-2.83821	-0.112776	0.477505	-0.94278	0.569853	-0.527623	0.324699	-0.801015	0.366093	-0.361238	0.717892	-0.504308	-0.609091	-0.000298343	-0.413869	-0.189409	0.854728
ACAT2	-0.0813685	1.78161	0.784266	1.69804	1.54736	0.14889	-0.817098	0.41835	0.735057	0.280347	-0.155027	-1.73327	-1.31489	-0.577413	-0.981763	-0.471972	-0.0272438	-1.19687	-0.473599	0.229822	-1.05523	1.0541	0.198293	0.205292	-1.73614	-0.89009	-0.224076	0.292621	-0.0907523	-0.912851	-0.140059	0.902237	-0.861083	0.710794	1.33271	-0.0292813	-1.90085	0.215616	0.0875089	1.20536	-1.11749	-1.70584	-0.288895	1.41567	-0.502079	-2.56007	1.46114	-0.551781	-0.0513349	-1.33443	-0.0573304	1.80003	-1.67736	-0.175177	0.138716	-0.720186	0.789034	-0.351658	0.266043	0.986298	0.819006	-0.271962	-0.0936392	0.212749	-0.89374	0.879048	-0.212614	-0.996108	0.880047	0.273974	1.23186	1.7701	-0.241011	-0.876927	1.73235	-1.59241	-1.16118	-0.901382	0.45755	-0.397425	0.906014	0.832743	0.940922	0.208469	0.259838	0.952009	1.68296	-1.43012	0.179443	0.182941	-0.416628	0.131544	0.438842	-0.197578	-0.41355	1.17147	1.4584	-0.453946	0.571019	-0.908921	-2.78736	1.07581	1.07673
ACLY	0.104454	-0.58217	-0.944539	-0.0310253	0.435408	0.88821	-0.0579985	0.0606569	-0.185664	0.692787	-0.198576	0.193019	0.318209	0.217296	-0.590109	-0.108964	-0.200147	-0.48374	-1.18546	0.704934	0.474018	0.011437	-0.919881	0.341022	1.13679	1.23212	-0.57688	-0.928441	1.10588	0.136789	3.99073	-0.572631	-0.307441	0.619365	-1.83906	-0.877684	-1.52698	1.04937	-1.78365	1.31001	0.326683	-2.07544	-1.05412	0.695391	-0.641886	-2.86806	-0.0850465	-1.69524	-0.586824	0.593873	1.0838	0.372285	1.10542	-0.421921	0.494517	-0.393248	-0.164112	-0.962727	-1.02912	-0.63127	0.739986	1.46344	0.514621	-1.31588	1.38082	0.326278	0.799774	0.882719	1.16783	-0.743863	-0.716738	0.971679	0.0857277	-0.173706	-1.03574	-0.508631	-1.18715	-0.239829	-1.079	-0.66209	1.39636	0.566684	0.091115	0.339972	-0.0598249	-1.10709	0.156196	-0.837131	1.25797	2.591	0.56916	-0.272145	0.226226	0.857207	-1.51418	0.158782	1.07821	1.05918	-0.90128	-0.078545	-0.84662	0.39033	1.02374
ACO2	-0.0893173	-0.842282	0.128799	-0.533261	0.450704	-0.128143	0.0449093	0.438164	-0.378563	0.543921	0.339828	-1.23515	-0.379063	1.42563	-1.41224	-1.75668	0.921367	-0.523103	0.106628	-1.06133	0.90012	0.66185	0.333904	1.24924	0.0720318	1.3331	-0.328664	0.873938	-0.323648	-1.20061	1.31547	0.557445	0.171999	-1.00498	2.41981	0.39891	-0.258491	-0.626931	2.45683	0.215656	-0.261893	-2.40264	-0.680324	-0.301771	0.293593	-3.88584	-0.193023	-1.77207	1.69025	1.68835	-0.316151	-0.83474	-0.302213	0.517594	2.46749	0.185597	-0.365216	0.0997041	-0.885436	-0.163389	0.107415	-0.443305	0.114815	-0.557224	-0.392796	-0.421068	0.641789	-0.362326	-0.633312	0.194916	-0.050295	-0.346468	0.319114	-0.064388	-0.381466	0.643056	0.0329074	0.192138	1.06423	1.18179	1.09692	0.232136	-0.109383	1.40566	-0.0800937	0.223038	0.223701	-0.22973	1.8897	0.175804	-0.380659	-1.14581	0.211946	-0.166952	-2.46701	-0.227343	1.2454	-1.20518	-0.190164	-0.0779163	-1.61494	-0.717133	1.21282
ACP1	-0.0418274	0.709416	-0.273057	0.0152411	0.371033	-0.600463	0.114068	0.0292915	0.838479	-1.19861	0.0271515	-0.702212	-0.557879	-0.625302	-0.719445	1.48851	-0.370837	0.178036	0.0896962	-0.847112	-0.480785	0.303977	1.05703	-0.437162	-0.235911	-0.407468	0.0329666	-0.459222	-0.700066	-0.506431	0.310717	0.913407	-0.212427	-0.049898	0.515111	0.297856	-1.49004	-0.882863	-2.58707	-0.140804	3.59537	-1.02795	-0.0428708	-1.09476	-0.108977	-1.65135	-0.0280842	-1.02729	-1.93101	-0.872218	-0.167044	1.325	-0.0105892	-0.497678	0.997521	0.26913	1.2747	-0.890017	0.457956	1.04894	0.721974	-0.748971	0.0801937	-1.74378	-0.41622	-0.71654	1.23544	0.596443	0.690236	-0.375803	-0.176079	2.83062	-0.459798	-1.57993	0.32239	0.17112	0.0524608	-0.914809	-1.40789	0.271044	0.67329	-0.0129796	-0.964435	0.550853	-0.322322	0.109247	0.803787	0.657847	-1.46461	0.556497	0.915403	-0.773641	0.0509918	0.318651	0.457728	1.97956	-0.438452	-0.145139	-0.303716	0.636298	2.13969	3.51328	0.246176
ACTC1	0.196439	-1.05535	-0.707821	0.334839	-0.0284083	1.0539	0.153816	-0.600858	-1.15863	1.4255	-0.0668045	0.781726	0.314105	1.01363	0.777295	0.235828	-1.14226	-1.23828	-1.13987	-0.303896	1.54437	1.2717	-0.112494	0.121171	-0.751445	-1.42107	1.21378	0.442751	0.0248268	0.527244	-0.244499	-0.178758	-0.136422	-0.281339	-1.54811	-0.218131	-0.234687	0.495128	0.0748201	-1.42128	-0.30449	2.551	-0.975207	-0.57568	-0.0672019	1.98381	3.23684	2.8535	-0.318701	-0.679367	-1.28208	2.10759	-0.732753	-0.0393179	-1.08678	0.362379	-0.0530886	0.200187	-0.42868	-0.103827	-0.408968	-0.564558	-0.00942018	0.237841	-1.02841	0.0734622	1.14985	-1.63872	-1.01192	-0.274512	-0.515055	0.996655	0.0598638	0.0163446	0.574991	0.0594174	0.046148	1.49774	-0.302326	-0.74396	0.325571	-1.65281	-0.116485	0.695217	0.222025	0.0472624	-0.947212	-0.4664	-0.304683	-0.97444	2.03344	-0.677862	1.05487	0.830753	1.24846	-0.74118	0.634426	-1.63236	-0.734532	1.6931	-0.65829	-1.58354	-1.1704
ACTL6A	1.75939	2.14818	0.0892926	1.17532	-0.573676	1.20045	-0.605845	1.01548	2.20388	-1.19677	0.0770291	-1.29744	-0.707957	-0.939284	-1.36144	0.310927	1.81571	-0.993522	-0.911262	0.911416	0.0426495	1.08563	1.52129	-0.612692	-1.32224	0.219254	-0.44626	-0.190066	-0.807447	-0.359807	-0.89558	0.184128	-0.916201	1.16247	0.673815	-0.311508	-1.40176	0.355531	-0.0576331	0.973739	1.5613	-1.08934	-0.932768	-0.367945	-0.989988	-1.14904	0.298215	-1.90647	-1.0566	-0.365685	-1.31011	0.591135	0.62504	-0.239749	-1.32374	-0.985608	1.0077	0.609146	-1.43169	0.823109	0.562274	0.0529474	-0.254751	-1.11688	0.111833	-0.8586	1.18662	-0.572582	0.564661	0.0496793	-0.791108	-0.43076	-0.731935	-0.287258	-0.0449292	-0.57446	-0.954633	-0.87292	1.28819	-0.267598	2.12874	2.4823	2.54905	0.285796	0.374933	-0.0918076	0.853796	-0.786573	-0.349804	-1.05525	0.661759	-0.600131	0.695846	-1.10389	-0.587989	0.616185	-0.579216	-0.468551	1.60979	-0.362779	0.889812	0.831597	0.56451
ACVR2A	-0.238907	1.22356	-1.5525	-1.04801	-0.638383	0.16604	0.734726	0.0744155	1.24865	-0.662461	-0.654934	1.96304	0.701294	-0.837146	-0.131387	1.08899	-0.859264	0.295939	1.33685	-0.0130507	-0.849566	-0.868464	0.9044	-2.2184	0.789133	-1.26819	0.259058	-0.285819	-0.0370578	1.23315	1.67108	-0.293655	0.227427	-0.204001	0.0148256	-0.590575	-0.167847	-2.11267	0.968768	0.0310651	-2.53798	-0.023127	1.01897	0.603442	0.897513	-0.628082	-1.49371	0.510104	-2.98072	1.01162	0.405361	2.45913	-1.29919	-0.40216	-1.44636	1.99156	0.500302	-0.103613	-0.784984	0.0795094	-1.36454	-0.0156632	0.436879	1.80377	-1.07951	0.941042	-0.564925	-0.072478	-0.583681	-0.426223	0.425688	0.0290164	-1.64633	0.841161	1.54504	0.708325	0.401231	-0.675334	0.241745	0.536632	-0.199335	-1.17899	1.27203	-0.753694	0.643697	-0.899829	-0.944802	0.334544	-0.70623	0.176156	-0.220986	1.36277	0.69539	0.715754	0.895544	-0.658312	0.546849	-0.0544537	-0.0298082	0.351871	1.00512	-0.165	-0.847842
ADAM8	0.501134	-0.689875	-0.921911	0.342718	-0.0850347	-0.485163	-2.23193	0.0507187	1.185	0.561514	-1.56935	-0.618448	-0.0518732	-0.561118	0.789471	-0.000415803	-0.991464	0.418211	-1.26373	1.32313	-1.94768	-0.00275439	-0.222508	-0.441212	-1.81256	0.892323	0.151739	0.858511	0.526792	1.17186	-0.587698	1.43545	-0.810636	0.305801	0.963539	0.59228	1.72604	-0.350004	0.194408	-1.25299	0.0380168	0.305913	1.22539	0.414062	0.0206596	-1.7007	-0.416137	-1.34419	-2.3533	-0.219872	0.814009	-1.20035	-1.46615	1.26345	-0.666615	0.00702831	-2.0055	2.17121	1.42936	0.684954	0.917586	0.303124	0.638384	0.52887	0.401299	1.58048	0.613136	-0.337911	0.4284	-0.646948	0.862125	-1.61762	0.516477	-1.08987	-1.37779	1.05823	-1.06129	-0.943416	-0.87181	1.65509	0.0460436	0.506093	0.419682	-0.39607	0.69999	-0.100174	0.209842	1.66063	0.508596	1.37191	-0.991729	-0.336399	0.0139736	-1.28845	1.32999	1.05716	0.17958	0.958987	0.433022	-0.439827	-1.92716	0.421831	0.0124359
ADARB2	-1.98033	-1.1527	-0.607117	-1.01409	0.347847	0.328728	0.504816	-0.801763	-1.09531	0.534603	0.762524	0.17856	0.101866	0.645745	-0.0441594	0.774638	0.284163	0.544867	0.946536	0.768802	0.314765	0.269898	-1.11868	0.624278	1.32762	-1.22312	-0.852536	-1.28413	0.111689	-0.0582989	0.813736	-0.732956	0.593245	-0.361392	1.35974	-0.535907	0.151631	-0.0495723	1.23707	-2.00471	-1.43236	-1.33129	-1.27868	-0.393699	0.681947	-1.52061	-0.12476	1.25366	-2.06768	0.738309	-0.798362	-0.025374	0.290515	0.735171	2.48687	0.448399	-0.916055	0.97506	1.33917	-1.41868	-0.163421	-0.336885	1.40598	0.420085	0.282727	0.33568	1.52953	-0.202916	1.07757	1.43771	-0.956897	-0.618462	-0.635325	0.743126	-0.362723	-0.88628	0.148591	2.25314	1.25852	-0.620687	-0.449575	-1.73887	-1.6156	-0.0276071	0.372951	-0.647688	-1.5396	1.16225	-0.176893	0.0714009	0.659161	-0.0416032	-0.11578	0.0588724	-1.2453	-0.192747	0.0984744	2.02796	-2.11233	-0.223563	2.09512	0.7482	0.471548
ADCY6	-1.27845	-2.56363	-1.08549	-0.454819	-0.0746531	0.503563	-0.247596	0.251513	0.311449	0.280081	-0.452333	0.257912	1.96215	1.00376	-0.484246	0.196797	1.30338	-0.180643	-0.265331	0.287012	0.344911	-0.0490939	-0.795766	0.135301	2.28838	0.965434	1.22355	0.807054	2.46402	0.283488	1.36587	0.773865	-0.842057	0.296132	-1.19101	-0.48117	-0.688156	-0.0673561	-0.456078	0.706093	0.589286	0.134849	-1.46243	-0.603361	-0.715162	-1.98913	-0.599795	-0.452468	0.218079	1.28875	0.695595	-0.853376	1.6458	0.274595	0.272368	1.32529	-2.09005	-2.64245	0.286096	-0.49599	0.554118	1.51107	-0.678498	-0.929224	-0.351989	0.289745	-1.18429	0.804236	-0.377413	1.21193	-0.413813	-0.577896	0.246343	0.0904447	-1.18949	-0.392279	-0.0744891	1.25806	-0.217154	1.46122	-0.171985	0.819759	-1.41403	-0.566902	0.3207	-0.322378	-0.312867	-1.57495	-0.273787	1.09649	-0.876069	-1.1044	0.233895	-1.61492	-0.308052	2.36522	-0.336897	1.65528	-1.24182	0.394157	0.126537	0.318027	0.568022
ADCY9	-0.172787	-1.74141	-1.34895	-2.2742	-1.90383	0.298829	0.074145	0.925681	-1.2472	-1.27803	0.793617	0.545238	0.848104	0.648605	1.29281	1.30766	2.627	0.611032	0.375138	-1.00208	1.37212	-1.17942	1.18168	-0.287635	0.948565	0.412363	0.311803	0.726959	0.0898735	0.377539	-1.11162	0.771713	0.278754	-0.58118	-1.13801	0.0925008	1.00452	0.593715	-0.941655	1.37337	-0.00876691	0.0680432	-0.831535	-0.686378	0.643259	-1.18686	0.558863	-0.77562	0.376332	-0.938957	1.53621	-1.17823	1.72263	-0.452776	1.12592	0.682337	0.157988	-0.840781	0.461619	-1.87993	0.537942	0.603504	0.0401855	0.0863823	1.04337	0.458287	1.0045	0.31128	1.38882	0.561913	-0.540103	-2.28032	-0.10035	0.96012	-1.15699	0.00438039	0.331564	1.29411	0.0962116	-1.65257	-0.223691	-0.0792247	-0.562757	1.10249	-1.14507	-0.15873	-0.243984	-0.501427	1.74641	-0.868609	-0.307916	-2.53062	-0.280361	-0.66258	-0.8923	0.162786	-0.918884	1.02974	-0.391692	1.24099	-0.724622	-0.832435	0.821551
PLIN2	1.24695	0.45225	0.249658	0.576426	-1.127	0.584283	-0.937754	-0.599698	1.26551	-0.299465	0.64555	-0.0970419	0.0453502	-0.0748162	-0.0568424	-0.349282	-0.79055	0.142823	0.404919	1.44121	-2.41711	1.2276	0.610484	-1.22224	-2.11823	-0.559859	0.560538	0.653417	-1.21932	1.6469	0.0817463	0.52667	-1.02006	0.502866	-0.126836	2.0629	1.64364	-1.36005	0.490273	-0.329312	1.11659	1.93173	-0.432814	-0.97369	-0.379606	-0.0883752	-0.517023	-1.61239	-1.45558	-1.00643	-0.465894	1.00557	-2.18895	0.622858	-0.920197	0.0430446	-0.732713	0.92218	-0.512762	0.900268	0.976302	-0.512516	-0.221091	1.62851	-1.30985	-0.237929	0.0540807	-0.717377	0.349212	-0.589915	0.646611	2.90325	-1.08185	-0.460288	0.682833	0.766158	-0.774564	-1.49117	0.423397	-1.47407	0.10558	0.208725	1.40356	0.220119	-0.301868	0.146036	-0.16347	1.56977	0.527033	-0.455828	-0.0730991	0.0712004	0.791745	0.207803	-1.25572	-0.571024	0.740403	-0.693249	1.17578	-1.88495	0.6834	1.36902	-0.993009
ADH5	0.440179	0.288821	-0.117386	1.33444	0.0103756	0.513543	0.918048	-0.85555	-0.514706	-0.330604	1.89163	0.24555	-0.152147	-0.303177	-0.325939	-1.2948	-0.917371	0.350867	1.00957	0.310349	0.503935	0.229204	2.5523	-1.14344	1.69524	-2.15889	0.695821	0.841734	-0.808821	-0.00430043	-2.4844	0.722597	0.749352	-0.747147	-0.0462018	0.316583	-0.17308	-2.40062	0.72727	1.12479	1.47518	0.212445	0.13719	-0.815818	0.559366	1.75994	1.99028	-0.332571	-1.87745	-1.24451	-0.120636	-0.399772	-0.859549	0.805555	-0.163156	0.027162	-0.0504388	1.48588	0.653465	0.286237	-0.202673	-0.895153	-0.232396	-0.389328	-0.786936	-1.24081	0.627904	-0.0987991	0.595697	-0.316186	-0.235359	-1.27817	-0.438955	0.301479	0.474227	-0.169965	0.928516	-0.282413	0.00475116	0.749747	-0.42445	1.14354	-2.38022	-0.101129	-0.458105	0.220906	0.810577	0.215247	-0.239764	-0.612609	-1.30587	-0.0436591	2.44152	-0.1576	-1.34797	-2.46158	0.917653	0.151132	1.26239	-1.2869	1.00327	-0.476773	-0.207227
ADK	1.04023	0.582082	-0.00166194	-4.9134	0.55386	-0.0690995	0.495098	-0.375826	0.251018	-0.388926	-1.48393	0.294104	-0.29133	0.241336	-0.267549	0.464635	-0.921316	-0.323103	0.57464	-0.874916	-0.031278	0.869484	0.233239	0.62466	-1.07171	-0.116221	-0.576068	-0.0568009	-0.415647	0.228735	-0.735905	0.00662865	-0.167777	4.09921	-0.635328	-0.309154	0.515208	-0.632402	-1.02293	1.16741	0.0259195	-0.641862	0.427374	1.30451	-0.138451	-1.0213	0.860692	-0.5038	-0.433275	-0.438602	-0.243938	-1.00292	-0.383727	-0.581198	-0.994048	-0.0799451	1.25235	-0.148621	0.780137	0.185609	1.09807	0.312883	-0.0229949	-0.605633	-1.245	-1.2571	1.25438	-1.2053	-0.25121	0.792416	-1.11572	0.71324	0.588318	0.0868614	1.10955	-0.557683	1.08834	0.140092	0.0409201	0.284384	0.95948	-1.02527	-0.179732	1.57891	1.33745	1.64016	-0.137336	-1.53167	-0.779112	-0.00173286	0.768917	0.16779	1.42848	0.594459	-0.255862	-2.11269	-0.528679	0.291733	1.67297	0.449498	-0.718598	-0.319596	0.667405
